COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
AITKIN 3830 403 272 3755
ANOKA 68008 6616 1739 69256
BECKER 5253 591 337 8152
BELTRAMI 7301 1269 301 8346
BENTON 6009 862 374 7663
"BIG STONE" 1430 109 71 1370
"BLUE EARTH" 12329 1761 370 12942
BROWN 4650 561 253 7370
CARLTON 8620 634 249 5578
CARVER 12462 1381 388 20790
CASS 5534 663 262 7134
CHIPPEWA 2952 268 155 2977
CHISAGO 9593 1116 341 10937
CLAY 10128 963 555 11712
CLEARWATER 1466 134 87 2137
COOK 1171 290 64 1295
COTTONWOOD 2503 208 101 3369
"CROW WING" 11255 1314 524 15035
DAKOTA 85446 7799 1754 87250
DODGE 3370 327 140 4213
DOUGLAS 6352 746 296 9811
FARIBAULT 3624 309 155 4336
FILLMORE 5020 409 148 4646
FREEBORN 8514 555 227 6843
GOODHUE 9981 1093 331 10852
GRANT 1507 214 99 1804
HENNEPIN 307599 35584 5006 225657
HOUSTON 4502 421 167 5077
HUBBARD 3632 484 190 5307
ISANTI 6247 753 261 7668
ITASCA 10583 1137 449 9545
JACKSON 2364 194 107 2773
KANABEC 2831 344 156 3480
KANDIYOHI 8220 734 305 10026
KITTSON 1107 68 109 1353
KOOCHICHING 2903 302 151 3523
"LAC QUI PARLE" 2244 160 108 1941
LAKE 3579 426 93 2465
"LAKE OF THE WOODS" 848 74 49 1216
"LE SUEUR" 5361 603 229 6138
LINCOLN 1590 105 76 1513
LYON 4737 460 205 6087
MAHNOMEN 921 96 85 1122
MARSHALL 1910 160 217 2912
MARTIN 4166 376 143 5686
MCLEOD 5609 681 322 8782
MEEKER 4402 517 233 5520
"MILLE LACS" 4376 448 206 5223
MORRISON 5274 633 573 8197
MOWER 10693 678 236 6873
MURRAY 2093 149 104 2407
NICOLLET 7041 842 223 7221
NOBLES 3760 238 108 4766
NORMAN 1575 123 135 1808
OLMSTED 25822 2198 731 30641
"OTTER TAIL" 9844 1120 584 16963
PENNINGTON 2458 255 227 3380
PINE 6148 734 332 5854
PIPESTONE 1970 140 91 2693
POLK 5764 369 398 7609
POPE 2771 264 144 2808
RAMSEY 138470 15522 2617 87669
"RED LAKE" 830 68 102 1090
REDWOOD 2681 314 164 4589
RENVILLE 3533 355 198 4036
RICE 13140 1639 366 10876
ROCK 2081 116 41 2772
ROSEAU 2128 176 167 4695
"SAINT LOUIS" 64237 6290 1517 35420
SCOTT 17503 1829 507 23954
SHERBURNE 12109 1501 412 16813
SIBLEY 2687 361 200 4087
STEARNS 24800 3820 1454 32402
STEELE 6900 697 246 8223
STEVENS 2434 393 94 2831
SWIFT 2698 218 145 2376
TODD 4132 485 444 6031
TRAVERSE 884 86 62 1074
WABASHA 4522 571 193 5245
WADENA 2251 253 145 3733
WASECA 3694 398 164 4608
WASHINGTON 49637 4891 979 51502
WATONWAN 2258 212 102 2562
WILKIN 1046 77 150 2032
WINONA 11069 1750 326 10773
WRIGHT 16762 1977 766 23861
"YELLOW MEDICINE" 2528 232 157 2598
