Search Results: 2022 
FIPS code,State,Jurisdiction,Precincts,Total Registration,Marking Method
"0100100000","Alabama","Autauga County","20","43695","Hand marked paper ballots and BMDs",
"0100300000","Alabama","Baldwin County","52","176668","Hand marked paper ballots and BMDs",
"0100500000","Alabama","Barbour County","18","17850","Hand marked paper ballots and BMDs",
"0100700000","Alabama","Bibb County","10","15014","Hand marked paper ballots and BMDs",
"0100900000","Alabama","Blount County","26","41927","Hand marked paper ballots and BMDs",
"0101100000","Alabama","Bullock County","17","7457","Hand marked paper ballots and BMDs",
"0101300000","Alabama","Butler County","24","14646","Hand marked paper ballots and BMDs",
"0101500000","Alabama","Calhoun County","46","81674","Hand marked paper ballots and BMDs",
"0101700000","Alabama","Chambers County","18","26077","Hand marked paper ballots and BMDs",
"0101900000","Alabama","Cherokee County","25","19469","Hand marked paper ballots and BMDs",
"0102100000","Alabama","Chilton County","20","29873","Hand marked paper ballots and BMDs",
"0102300000","Alabama","Choctaw County","34","11033","Hand marked paper ballots and BMDs",
"0102500000","Alabama","Clarke County","31","19676","Hand marked paper ballots and BMDs",
"0102700000","Alabama","Clay County","17","10468","Hand marked paper ballots and BMDs",
"0102900000","Alabama","Cleburne County","16","11516","Hand marked paper ballots and BMDs",
"0103100000","Alabama","Coffee County","31","37163","Hand marked paper ballots and BMDs",
"0103300000","Alabama","Colbert County","36","43748","Hand marked paper ballots and BMDs",
"0103500000","Alabama","Conecuh County","29","10413","Hand marked paper ballots and BMDs",
"0103700000","Alabama","Coosa County","14","8403","Hand marked paper ballots and BMDs",
"0103900000","Alabama","Covington County","27","28338","Hand marked paper ballots and BMDs",
"0104100000","Alabama","Crenshaw County","20","10619","Hand marked paper ballots and BMDs",
"0104300000","Alabama","Cullman County","51","62707","Hand marked paper ballots and BMDs",
"0104500000","Alabama","Dale County","21","35835","Hand marked paper ballots and BMDs",
"0104700000","Alabama","Dallas County","31","31849","Hand marked paper ballots and BMDs",
"0104900000","Alabama","DeKalb County","46","45221","Hand marked paper ballots and BMDs",
"0105100000","Alabama","Elmore County","31","60857","Hand marked paper ballots and BMDs",
"0105300000","Alabama","Escambia County","31","27240","Hand marked paper ballots and BMDs",
"0105500000","Alabama","Etowah County","33","76054","Hand marked paper ballots and BMDs",
"0105700000","Alabama","Fayette County","28","13043","Hand marked paper ballots and BMDs",
"0105900000","Alabama","Franklin County","26","19744","Hand marked paper ballots and BMDs",
"0106100000","Alabama","Geneva County","23","20112","Hand marked paper ballots and BMDs",
"0106300000","Alabama","Greene County","16","7045","Hand marked paper ballots and BMDs",
"0106500000","Alabama","Hale County","16","12561","Hand marked paper ballots and BMDs",
"0106700000","Alabama","Henry County","16","14070","Hand marked paper ballots and BMDs",
"0106900000","Alabama","Houston County","29","80366","Hand marked paper ballots and BMDs",
"0107100000","Alabama","Jackson County","32","39655","Hand marked paper ballots and BMDs",
"0107300000","Alabama","Jefferson County","175","505586","Hand marked paper ballots and BMDs",
"0107500000","Alabama","Lamar County","27","11213","Hand marked paper ballots and BMDs",
"0107700000","Alabama","Lauderdale County","33","68218","Hand marked paper ballots and BMDs",
"0107900000","Alabama","Lawrence County","31","25471","Hand marked paper ballots and BMDs",
"0108100000","Alabama","Lee County","24","124082","Hand marked paper ballots and BMDs",
"0108300000","Alabama","Limestone County","27","71614","Hand marked paper ballots and BMDs",
"0108500000","Alabama","Lowndes County","14","10361","Hand marked paper ballots and BMDs",
"0108700000","Alabama","Macon County","16","17990","Hand marked paper ballots and BMDs",
"0108900000","Alabama","Madison County","75","303191","Hand marked paper ballots and BMDs",
"0109100000","Alabama","Marengo County","21","16366","Hand marked paper ballots and BMDs",
"0109300000","Alabama","Marion County","22","22074","Hand marked paper ballots and BMDs",
"0109500000","Alabama","Marshall County","30","64249","Hand marked paper ballots and BMDs",
"0109700000","Alabama","Mobile County","87","315446","Hand marked paper ballots and BMDs",
"0109900000","Alabama","Monroe County","31","16916","Hand marked paper ballots and BMDs",
"0110100000","Alabama","Montgomery County","51","165578","Hand marked paper ballots and BMDs",
"0110300000","Alabama","Morgan County","41","85651","Hand marked paper ballots and BMDs",
"0110500000","Alabama","Perry County","14","8206","Hand marked paper ballots and BMDs",
"0110700000","Alabama","Pickens County","21","14424","Hand marked paper ballots and BMDs",
"0110900000","Alabama","Pike County","35","23664","Hand marked paper ballots and BMDs",
"0111100000","Alabama","Randolph County","28","18406","Hand marked paper ballots and BMDs",
"0111300000","Alabama","Russell County","19","42721","Hand marked paper ballots and BMDs",
"0111700000","Alabama","Shelby County","45","165412","Hand marked paper ballots and BMDs",
"0111500000","Alabama","St. Clair County","32","68132","Hand marked paper ballots and BMDs",
"0111900000","Alabama","Sumter County","15","10063","Hand marked paper ballots and BMDs",
"0112100000","Alabama","Talladega County","28","59072","Hand marked paper ballots and BMDs",
"0112300000","Alabama","Tallapoosa County","28","32074","Hand marked paper ballots and BMDs",
"0112500000","Alabama","Tuscaloosa County","56","150175","Hand marked paper ballots and BMDs",
"0112700000","Alabama","Walker County","47","49226","Hand marked paper ballots and BMDs",
"0112900000","Alabama","Washington County","21","13784","Hand marked paper ballots and BMDs",
"0113100000","Alabama","Wilcox County","36","9192","Hand marked paper ballots and BMDs",
"0113300000","Alabama","Winston County","20","17155","Hand marked paper ballots and BMDs",
"0200000000","Alaska","Alaska","441","646093","Hand marked paper ballots, BMDs and DREs with VVPAT",
"6000000000","American Samoa","American Samoa","41","16341","Hand marked paper ballots, No accessible equipment",
"0400100000","Arizona","Apache County","44","55792","Hand marked paper ballots and BMDs",
"0400300000","Arizona","Cochise County","49","94283","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0400500000","Arizona","Coconino County","71","104736","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0400700000","Arizona","Gila County","39","37806","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0400900000","Arizona","Graham County","22","22659","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0401100000","Arizona","Greenlee County","8","5321","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0401200000","Arizona","La Paz County","11","13553","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0401300000","Arizona","Maricopa County","748","2863040","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0401500000","Arizona","Mohave County","24","155904","Hand marked paper ballots and BMDs",
"0401700000","Arizona","Navajo County","14","81425","Hand marked paper ballots and BMDs",
"0401900000","Arizona","Pima County","249","689973","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0402100000","Arizona","Pinal County","102","263199","Hand marked paper ballots and BMDs",
"0402300000","Arizona","Santa Cruz County","24","30935","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0402500000","Arizona","Yavapai County","45","181031","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0402700000","Arizona","Yuma County","44","128452","Vote Center Jurisdiction, Hand marked paper ballots and BMDs",
"0500100000","Arkansas","Arkansas County","30","10300","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0500300000","Arkansas","Ashley County","31","11384","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0500500000","Arkansas","Baxter County","44","30115","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0500700000","Arkansas","Benton County","117","170807","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0500900000","Arkansas","Boone County","60","25032","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0501100000","Arkansas","Bradley County","15","5328","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0501300000","Arkansas","Calhoun County","21","3473","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0501500000","Arkansas","Carroll County","32","16958","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0501700000","Arkansas","Chicot County","13","6259","Ballot Marking Devices for all voters",
"0501900000","Arkansas","Clark County","27","12302","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0502100000","Arkansas","Clay County","17","8028","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0502300000","Arkansas","Cleburne County","35","18023","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0502500000","Arkansas","Cleveland County","17","4627","Ballot Marking Devices for all voters",
"0502700000","Arkansas","Columbia County","14","13163","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0502900000","Arkansas","Conway County","14","11739","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0503100000","Arkansas","Craighead County","54","58028","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0503300000","Arkansas","Crawford County","44","35524","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0503500000","Arkansas","Crittenden County","43","31886","Ballot Marking Devices for all voters",
"0503700000","Arkansas","Cross County","22","10310","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0503900000","Arkansas","Dallas County","9","4541","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0504100000","Arkansas","Desha County","21","7143","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0504300000","Arkansas","Drew County","17","11608","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0504500000","Arkansas","Faulkner County","51","77681","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0504700000","Arkansas","Franklin County","39","9749","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0504900000","Arkansas","Fulton County","10","7595","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0505100000","Arkansas","Garland County","56","66198","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0505300000","Arkansas","Grant County","18","12095","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0505500000","Arkansas","Greene County","39","22061","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0505700000","Arkansas","Hempstead County","24","10291","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0505900000","Arkansas","Hot Spring County","31","18209","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0506100000","Arkansas","Howard County","36","7359","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0506300000","Arkansas","Independence County","36","22010","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0506500000","Arkansas","Izard County","47","9008","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0506700000","Arkansas","Jackson County","9","7908","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0506900000","Arkansas","Jefferson County","191","44193","Ballot Marking Devices for all voters",
"0507100000","Arkansas","Johnson County","22","16806","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0507300000","Arkansas","Lafayette County","25","4402","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0507500000","Arkansas","Lawrence County","28","8502","Ballot Marking Devices for all voters",
"0507700000","Arkansas","Lee County","24","5035","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0507900000","Arkansas","Lincoln County","24","6422","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0508100000","Arkansas","Little River County","20","7201","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0508300000","Arkansas","Logan County","36","12214","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0508500000","Arkansas","Lonoke County","55","49741","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0508700000","Arkansas","Madison County","10","10274","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0508900000","Arkansas","Marion County","31","10723","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0509100000","Arkansas","Miller County","19","24640","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0509300000","Arkansas","Mississippi County","54","20601","Ballot Marking Devices for all voters",
"0509500000","Arkansas","Monroe County","25","4297","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0509700000","Arkansas","Montgomery County","16","5074","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0509900000","Arkansas","Nevada County","9","5834","Ballot Marking Devices for all voters",
"0510100000","Arkansas","Newton County","11","6628","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0510300000","Arkansas","Ouachita County","69","15973","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0510500000","Arkansas","Perry County","18","6406","Ballot Marking Devices for all voters",
"0510700000","Arkansas","Phillips County","70","10673","Ballot Marking Devices for all voters",
"0510900000","Arkansas","Pike County","11","5662","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0511100000","Arkansas","Poinsett County","41","12357","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0511300000","Arkansas","Polk County","17","12130","Ballot Marking Devices for all voters",
"0511500000","Arkansas","Pope County","58","35220","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0511700000","Arkansas","Prairie County","25","4981","Ballot Marking Devices for all voters",
"0511900000","Arkansas","Pulaski County","105","256192","Ballot Marking Devices for all voters",
"0512100000","Arkansas","Randolph County","29","10623","Ballot Marking Devices for all voters",
"0512500000","Arkansas","Saline County","42","78265","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0512700000","Arkansas","Scott County","26","5169","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0512900000","Arkansas","Searcy County","15","5220","Ballot Marking Devices for all voters",
"0513100000","Arkansas","Sebastian County","117","73401","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0513300000","Arkansas","Sevier County","17","7466","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0513500000","Arkansas","Sharp County","25","11377","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0512300000","Arkansas","St. Francis County","16","11609","Ballot Marking Devices for all voters",
"0513700000","Arkansas","Stone County","9","8870","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0513900000","Arkansas","Union County","19","27974","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0514100000","Arkansas","Van Buren County","18","10751","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0514300000","Arkansas","Washington County","154","141842","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0514500000","Arkansas","White County","94","44997","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0514700000","Arkansas","Woodruff County","21","4545","Ballot Marking Devices for all voters",
"0514900000","Arkansas","Yell County","28","10382","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"0600100000","California","Alameda County","521","1084410","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0600300000","California","Alpine County","5","982","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0600500000","California","Amador County","30","29251","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0600700000","California","Butte County","157","148013","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0600900000","California","Calaveras County","29","36532","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0601100000","California","Colusa County","18","10070","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0601300000","California","Contra Costa County","957","735818","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0601500000","California","Del Norte County","18","17789","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0601700000","California","El Dorado County","202","147198","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0601900000","California","Fresno County","384","573873","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0602100000","California","Glenn County","74","15025","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0602300000","California","Humboldt County","66","102265","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0602500000","California","Imperial County","218","108397","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0602700000","California","Inyo County","21","12037","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0602900000","California","Kern County","694","477886","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0603100000","California","Kings County","96","69084","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0603300000","California","Lake County","70","46177","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0603500000","California","Lassen County","57","15414","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0603700000","California","Los Angeles County","3383","7122542","All Mail Ballot Jurisdiction, Election Day Vote Centers: Ballot Marking Devices for all voters",
"0603900000","California","Madera County","72","80595","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0604100000","California","Marin County","112","188059","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0604300000","California","Mariposa County","25","12946","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0604500000","California","Mendocino County","250","56493","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0604700000","California","Merced County","268","144364","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0604900000","California","Modoc County","21","6751","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0605100000","California","Mono County","12","8788","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0605300000","California","Monterey County","188","226045","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0605500000","California","Napa County","191","88300","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0605700000","California","Nevada County","111","84137","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0605900000","California","Orange County","1795","2061672","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0606100000","California","Placer County","127","290409","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0606300000","California","Plumas County","29","13704","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0606500000","California","Riverside County","864","1463308","All Mail Ballot Jurisdiction, Election Day Vote Centers: Ballot Marking Devices for all voters",
"0606700000","California","Sacramento County","677","1049495","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0606900000","California","San Benito County","54","38975","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0607100000","California","San Bernardino County","2327","1294038","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0607300000","California","San Diego County","1414","2437272","All Mail Ballot Jurisdiction, Election Day Vote Centers: Ballot Marking Devices for all voters",
"0607500000","California","San Francisco County","609","616670","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0607700000","California","San Joaquin County","207","416153","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0607900000","California","San Luis Obispo County","112","204736","Hand marked paper ballots and BMDs",
"0608100000","California","San Mateo County","403","554665","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0608300000","California","Santa Barbara County","226","268594","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0608500000","California","Santa Clara County","596","1243464","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0608700000","California","Santa Cruz County","168","210731","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0608900000","California","Shasta County","97","136598","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0609100000","California","Sierra County","23","2472","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0609300000","California","Siskiyou County","64","35949","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0609500000","California","Solano County","348","338764","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0609700000","California","Sonoma County","668","300586","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0609900000","California","Stanislaus County","192","356744","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0610100000","California","Sutter County","45","58285","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0610300000","California","Tehama County","46","40241","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0610500000","California","Trinity County","25","8948","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0610700000","California","Tulare County","271","230719","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0610900000","California","Tuolumne County","73","37998","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0611100000","California","Ventura County","695","594523","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0611300000","California","Yolo County","58","149469","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0611500000","California","Yuba County","34","53193","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0800100000","Colorado","Adams County","259","316308","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0800300000","Colorado","Alamosa County","8","10936","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0800500000","Colorado","Arapahoe County","399","459641","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0800700000","Colorado","Archuleta County","8","12024","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0800900000","Colorado","Baca County","9","2965","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0801100000","Colorado","Bent County","5","3339","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0801300000","Colorado","Boulder County","240","254616","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0801400000","Colorado","Broomfield County","37","57100","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0801500000","Colorado","Chaffee County","9","17052","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0801700000","Colorado","Cheyenne County","5","1428","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0801900000","Colorado","Clear Creek County","9","8594","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0802100000","Colorado","Conejos County","10","5570","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0802300000","Colorado","Costilla County","8","3026","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0802500000","Colorado","Crowley County","6","2361","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0802700000","Colorado","Custer County","3","4469","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0802900000","Colorado","Delta County","20","23861","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0803100000","Colorado","Denver County","356","522663","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0803300000","Colorado","Dolores County","4","1915","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0803500000","Colorado","Douglas County","168","277366","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0803700000","Colorado","Eagle County","30","38014","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0804100000","Colorado","El Paso County","291","516745","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0803900000","Colorado","Elbert County","15","22676","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0804300000","Colorado","Fremont County","30","33168","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0804500000","Colorado","Garfield County","27","40723","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0804700000","Colorado","Gilpin County","6","5656","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0804900000","Colorado","Grand County","12","13198","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0805100000","Colorado","Gunnison County","15","14479","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0805300000","Colorado","Hinsdale County","1","793","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0805500000","Colorado","Huerfano County","11","5792","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0805700000","Colorado","Jackson County","5","1272","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0805900000","Colorado","Jefferson County","309","459282","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0806100000","Colorado","Kiowa County","4","1080","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0806300000","Colorado","Kit Carson County","13","5087","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0806700000","Colorado","La Plata County","32","48741","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0806500000","Colorado","Lake County","6","5919","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0806900000","Colorado","Larimer County","212","280782","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0807100000","Colorado","Las Animas County","16","11670","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0807300000","Colorado","Lincoln County","13","3432","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0807500000","Colorado","Logan County","16","13343","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0807700000","Colorado","Mesa County","57","119045","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0807900000","Colorado","Mineral County","1","937","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0808100000","Colorado","Moffat County","13","9723","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0808300000","Colorado","Montezuma County","11","21282","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0808500000","Colorado","Montrose County","28","31197","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0808700000","Colorado","Morgan County","18","18306","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0808900000","Colorado","Otero County","17","13074","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0809100000","Colorado","Ouray County","5","4908","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
"0809300000","Colorado","Park County","13","16225","All Mail Ballot Jurisdiction, Election Day Vote Centers: Hand marked paper ballots and BMDs",
